A0A1D8PCJ6,0.586, 0.652, 0.171,667,5
A0A1D8PCJ7,0.090, 0.070, 0.233,376,3
A0A1D8PCJ9,0.400, 0.467, 0.265,1066,6
A0A1D8PCK0,0.650, 0.517, 0.117,1545,6
A0A1D8PCK2,0.173, 0.360, 0.399,711,4
A0A1D8PCL0,1.000, 0.000, 0.391,92,0
A0A1D8PCL1,0.101, 0.533, 0.653,545,2
A0A1D8PCL3,0.141, 0.546, 0.213,505,4
A0A1D8PCL4,0.090, 0.041, 0.189,354,1
A0A1D8PCL5,0.330, 0.378, 0.427,624,2
A0A1D8PCL8,0.729, 0.232, 0.472,366,1
A0A1D8PCL9,0.056, 0.422, 1.000,88,1
A0A1D8PCM0,0.151, 0.499, 0.616,1598,9
A0A1D8PCM2,0.085, 0.148, 0.941,386,2
A0A1D8PCM3,0.380, 0.460, 0.271,775,6
A0A1D8PCM4,0.358, 0.442, 0.268,824,6
A0A1D8PCM6,0.151, 0.680, 0.556,1274,7
A0A1D8PCM7,0.312, 0.419, 0.333,701,4
A0A1D8PCM9,0.516, 0.748, 0.157,1019,6
A0A1D8PCN0,0.002, 0.050, 1.000,675,2
A0A1D8PCN8,0.371, 0.324, 0.102,980,7
A0A1D8PCP0,0.523, 0.609, 0.214,509,3
A0A1D8PCP2,0.085, 0.227, 0.329,495,2
A0A1D8PCP4,0.017, 0.076, 1.000,292,1
A0A1D8PCP6,0.504, 0.373, 0.476,379,2
A0A1D8PCP7,0.245, 0.368, 0.286,543,3
A0A1D8PCP8,0.297, 0.219, 0.300,403,2
A0A1D8PCP9,0.246, 0.183, 0.183,333,1
A0A1D8PCQ2,0.404, 0.317, 0.228,830,7
A0A1D8PCQ3,0.182, 0.249, 0.368,643,3
A0A1D8PCQ5,0.016, 0.040, 1.000,127,1
A0A1D8PCQ6,0.075, 0.097, 1.000,200,2
A0A1D8PCQ7,0.191, 0.292, 0.592,538,6
A0A1D8PCQ8,0.919, 1.000, 0.139,570,0
A0A1D8PCR0,0.575, 0.624, 0.130,1209,8
A0A1D8PCR2,0.111, 0.425, 0.378,333,3
A0A1D8PCR3,0.165, 0.097, 0.576,444,3
A0A1D8PCR4,0.143, 0.321, 0.727,586,2
A0A1D8PCR9,0.080, 0.062, 1.000,176,1
A0A1D8PCS2,0.123, 0.364, 0.317,357,3
A0A1D8PCS6,0.056, 0.083, 0.250,503,1
A0A1D8PCS7,0.060, 0.146, 1.000,249,2
A0A1D8PCT0,0.194, 0.531, 0.505,1897,10
A0A1D8PCT3,0.018, 0.536, 1.000,57,0
A0A1D8PCT4,0.018, 0.372, 1.000,496,2
A0A1D8PCT5,0.071, 0.193, 0.239,808,1
A0A1D8PCT7,0.148, 0.328, 0.392,842,4
A0A1D8PCU1,0.788, 0.943, 0.185,589,2
A0A1D8PCU3,0.595, 0.049, 0.294,200,1
A0A1D8PCU5,0.330, 0.515, 0.682,200,1
A0A1D8PCV0,0.082, 0.106, 0.354,455,3
A0A1D8PCV2,0.190, 0.686, 1.000,63,1
A0A1D8PCV3,0.258, 0.771, 0.364,725,8
A0A1D8PCV7,0.087, 0.363, 0.609,1404,5
A0A1D8PCV8,0.326, 0.291, 0.144,795,2
A0A1D8PCV9,0.076, 0.038, 0.421,571,4
A0A1D8PCW2,0.179, 0.339, 0.246,586,2
A0A1D8PCW3,0.015, 0.036, 1.000,342,1
A0A1D8PCW6,0.007, 0.028, 1.000,142,1
A0A1D8PCW7,0.132, 0.393, 0.242,370,2
A0A1D8PCX0,0.248, 0.594, 0.294,1417,9
A0A1D8PCX5,0.019, 0.039, 1.000,421,2
A0A1D8PCX6,0.289, 0.456, 0.249,584,4
A0A1D8PCX8,0.080, 0.296, 1.000,176,2
A0A1D8PCX9,0.045, 0.105, 1.000,200,1
A0A1D8PCY0,0.549, 0.626, 0.231,1065,8
A0A1D8PCY1,0.381, 0.627, 0.328,805,5
A0A1D8PCY2,0.267, 0.337, 0.213,1051,7
A0A1D8PCY4,0.199, 0.050, 0.060,423,1
A0A1D8PCY5,0.176, 0.526, 0.472,397,3
A0A1D8PCY7,0.277, 0.528, 0.260,678,6
A0A1D8PCY8,0.073, 0.085, 0.384,467,2
A0A1D8PCZ1,0.552, 1.000, 0.353,655,4
A0A1D8PCZ2,0.412, 0.561, 0.748,221,2
A0A1D8PCZ5,0.074, 0.203, 0.892,378,2
A0A1D8PCZ6,0.380, 0.754, 0.347,1410,6
A0A1D8PCZ8,0.371, 0.243, 0.199,649,2
A0A1D8PD02,0.000, 0.007, 1.000,141,1
A0A1D8PD03,0.260, 0.245, 0.235,376,2
A0A1D8PD04,0.770, 1.000, 0.313,274,1
A0A1D8PD05,0.016, 0.069, 1.000,425,1
A0A1D8PD11,0.011, 0.022, 1.000,181,1
A0A1D8PD13,0.356, 0.410, 0.270,469,3
A0A1D8PD15,0.210, 0.673, 0.681,481,3
A0A1D8PD17,0.727, 0.726, 0.221,990,3
A0A1D8PD19,0.062, 0.100, 1.000,32,0
A0A1D8PD21,0.189, 0.634, 0.646,1209,7
A0A1D8PD23,0.254, 0.734, 0.524,1179,6
A0A1D8PD24,0.066, 0.582, 1.000,136,1
A0A1D8PD25,0.208, 0.564, 0.409,958,9
A0A1D8PD30,0.409, 0.556, 0.413,350,2
A0A1D8PD31,0.217, 0.333, 0.567,310,3
A0A1D8PD32,0.039, 0.137, 0.513,590,1
A0A1D8PD33,0.011, 0.014, 1.000,361,1
A0A1D8PD34,0.621, 1.000, 0.979,79,0
A0A1D8PD35,0.043, 0.103, 1.000,183,1
A0A1D8PD38,0.164, 0.068, 0.299,615,1
A0A1D8PD39,0.262, 0.415, 0.477,1073,5
A0A1D8PD40,0.798, 1.000, 0.214,683,3
A0A1D8PD42,0.134, 0.143, 1.000,89,1
A0A1D8PD43,0.944, 0.643, 0.049,1655,1
